2021-11-15 15:51:28,??????,1009335348785082368,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",got my first dose of Covid Vaccine tonight. #Sinovac,,,.0,1460153463350829060
2021-11-15 15:23:10,Kim Razak,1349654112007282688,,-1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Effectiveness of booster dose. #Vaksin #Sinovac https://t.co/uD3c0UhFsH,,,.0,1460146340038471682
2021-11-15 13:41:37,❣️ Khimmy ❣️,1194493760186380288,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",", Fully Vaccinated #Sinovac https://t.co/QAHEDw7yUu",,,.0,1460120786233032705
2021-11-15 11:17:52,MANIFESTING MACHILLES ENDGAME!!!!,1398876211284111361,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2nd dose done! #sinovac,,,.0,1460084610734252032
2021-11-13 19:49:59,Edna@Odronauts.??????Leni2022.??????,1168084175317913601,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Done my First Dose.

#Sinovac https://t.co/3aR1B5JjWA",,,1.0,1459488710584848384
2021-11-09 13:22:36,Sheena Aprill,1231638387888513024,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2nd and final dose ?? #Sinovac https://t.co/8aDYLBt8S6,,,.0,1457941672294117381
2021-11-09 09:01:27,Jessa S. Baguio,93324801,,-1,en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Fully vaccinated ????

#fullyvaxxed #sinovac?? @ Robinson's Galleria Cebu https://t.co/v7QyLH9U4F",10.3,123.9,.0,1457875950159503361
2021-11-08 11:20:11,juan madrid,3746101692,,-1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Done ✔️ #vaccinated #sinovac ????,,,.0,1457548477219545091
2021-11-15 14:43:46,Ivan Patrick,33809372,,-1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Second Dose done! I've been waiting for ever! ????

AstraZeneca Episode 2 was much easier than episode 1, felt even less effects than the first jab. ????

#AstraZeneca #GetVaccinated #2DoseClub https://t.co/ykqBlVDNPY",,,.0,1460136426264170501
2021-11-15 11:55:06,フィフタ,568982827,,-1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Done Vaccine dose 2
#AstraZeneca",,,.0,1460093978955505665
